violator,contract_id,citation_no,case_no,date_issues,final_order_date,section_of_act,date_terminated,citation,s_and_s,standard,standard_url,proposed_penalty,citation_status,current_penalty,amount_paid
"P B Dirt Movers, Inc", ,8308898  ,000450702,6/29/2017,5/17/2018 ,104(a),7/17/2017,C,Y,77.404(a),http://www.gpo.gov/fdsys/pkg/CFR-2017-title30-vol1/pdf/CFR-2017-title30-vol1-sec77-404.pdf,116.00,Delinquent,116.00 ,0.00 
"P B Dirt Movers, Inc", ,6651630  ,000450702,6/29/2017,5/17/2018 ,104(a),7/17/2017,C,Y,77.404(a),http://www.gpo.gov/fdsys/pkg/CFR-2017-title30-vol1/pdf/CFR-2017-title30-vol1-sec77-404.pdf,220.00,Delinquent,160.00 ,0.00 
"P B Dirt Movers, Inc", ,6651615  ,000443479,5/24/2017,8/26/2017 ,104(a),6/1/2017,C,N,77.1605(c),http://www.gpo.gov/fdsys/pkg/CFR-2017-title30-vol1/pdf/CFR-2017-title30-vol1-sec77-404.pdf,116.00,Closed,116.00 ,116.00 
"P B Dirt Movers, Inc", ,8308934  ,000441198,5/11/2017,8/15/2017 ,104(a),5/24/2017,C,Y,77.1001,http://www.gpo.gov/fdsys/pkg/CFR-2017-title30-vol1/pdf/CFR-2017-title30-vol1-sec77-404.pdf,220.00,Closed,220.00 ,220.00 
"P B Dirt Movers, Inc", ,8308921  ,000438629,4/10/2017,7/18/2017 ,104(a),4/17/2017,C,N,77.1606(c),http://www.gpo.gov/fdsys/pkg/CFR-2017-title30-vol1/pdf/CFR-2017-title30-vol1-sec77-404.pdf,116.00,Closed,116.00 ,116.00 
"P B Dirt Movers, Inc", ,8308920  ,000438629,4/10/2017,7/18/2017 ,104(a),4/17/2017,C,N,77.1104,http://www.gpo.gov/fdsys/pkg/CFR-2017-title30-vol1/pdf/CFR-2017-title30-vol1-sec77-404.pdf,116.00,Closed,116.00 ,116.00 
"P B Dirt Movers, Inc", ,8308918  ,000438629,4/5/2017,7/18/2017 ,104(a),4/10/2017,C,Y,77.1001,http://www.gpo.gov/fdsys/pkg/CFR-2017-title30-vol1/pdf/CFR-2017-title30-vol1-sec77-404.pdf,220.00,Closed,220.00 ,220.00 
"P B Dirt Movers, Inc", ,8308919  ,000438629,4/5/2017,7/18/2017 ,104(a),4/10/2017,C,Y,77.1713(a),http://www.gpo.gov/fdsys/pkg/CFR-2017-title30-vol1/pdf/CFR-2017-title30-vol1-sec77-404.pdf,220.00,Closed,220.00 ,220.00 
"P B Dirt Movers, Inc", ,8308914  ,000438629,4/4/2017,7/18/2017 ,104(a),4/5/2017,C,N,77.1000,http://www.gpo.gov/fdsys/pkg/CFR-2017-title30-vol1/pdf/CFR-2017-title30-vol1-sec77-404.pdf,220.00,Closed,220.00 ,220.00 
"P B Dirt Movers, Inc", ,8308915  ,000438629,4/4/2017,7/18/2017 ,104(a),4/5/2017,C,Y,77.1605(k),http://www.gpo.gov/fdsys/pkg/CFR-2017-title30-vol1/pdf/CFR-2017-title30-vol1-sec77-404.pdf,330.00,Closed,330.00 ,330.00 
"P B Dirt Movers, Inc", ,8308913  ,000438629,4/4/2017,7/18/2017 ,104(a),4/5/2017,C,N,77.207,http://www.gpo.gov/fdsys/pkg/CFR-2017-title30-vol1/pdf/CFR-2017-title30-vol1-sec77-404.pdf,116.00,Closed,116.00 ,116.00 
LARRY BELCHER T/A LB TRUCKING COMPANY, ,8308529  ,000432423,1/4/2017,4/7/2017 ,104(a),1/10/2017,C,Y,77.404(a),http://www.gpo.gov/fdsys/pkg/CFR-2017-title30-vol1/pdf/CFR-2017-title30-vol1-sec77-404.pdf,135.00,Closed,135.00 ,135.00 
"P B Dirt Movers, Inc", ,8308527  ,000432056,12/27/2016,4/18/2017 ,104(a),1/4/2017,C,N,77.1605(d),http://www.gpo.gov/fdsys/pkg/CFR-2017-title30-vol1/pdf/CFR-2017-title30-vol1-sec77-404.pdf,126.00,Closed,126.00 ,126.00 
"P B Dirt Movers, Inc", ,8308524  ,000428997,12/13/2016,3/4/2017 ,104(a),12/19/2016,C,N,77.1605(d),http://www.gpo.gov/fdsys/pkg/CFR-2017-title30-vol1/pdf/CFR-2017-title30-vol1-sec77-404.pdf,114.00,Closed,114.00 ,114.00 
"P B Dirt Movers, Inc", ,8308521  ,000428997,12/8/2016,3/4/2017 ,104(a),12/13/2016,C,N,77.1605(k),http://www.gpo.gov/fdsys/pkg/CFR-2017-title30-vol1/pdf/CFR-2017-title30-vol1-sec77-404.pdf,114.00,Closed,114.00 ,114.00 
"P B Dirt Movers, Inc", ,8306734  ,000426702,10/28/2016,1/28/2017 ,104(a),11/23/2016,C,N,77.1606(c),http://www.gpo.gov/fdsys/pkg/CFR-2017-title30-vol1/pdf/CFR-2017-title30-vol1-sec77-404.pdf,114.00,Closed,114.00 ,114.00 
