violator,contract_id,citation_no,case_no,date_issues,final_order_date,section_of_act,date_terminated,citation,s_and_s,standard,standard_url,proposed_penalty,citation_status,current_penalty,amount_paid
Dirt Works, ,8778046  ,000374480,10/14/2014,3/27/2015 ,104(a),10/14/2014,C,N,56.14132(a),http://www.gpo.gov/fdsys/pkg/CFR-2014-title30-vol1/pdf/CFR-2014-title30-vol1-sec56-14132.pdf,100.00,Closed,100.00 ,100.00 
Dirt Works, ,8778047  ,000374480,10/14/2014,3/27/2015 ,104(a),11/4/2014,C,N,56.18010,http://www.gpo.gov/fdsys/pkg/CFR-2014-title30-vol1/pdf/CFR-2014-title30-vol1-sec56-14132.pdf,162.00,Closed,162.00 ,162.00 
Dirt Works, ,8771784  ,000345454,1/22/2014,4/20/2014 ,104(a),1/22/2014,C,N,50.30(a),http://www.gpo.gov/fdsys/pkg/CFR-2014-title30-vol1/pdf/CFR-2014-title30-vol1-sec56-14132.pdf,100.00,Closed,100.00 ,100.00 
Dirt Works, ,8771781  ,000348280,1/22/2014,5/21/2014 ,104(a),1/22/2014,C,N,56.14100(b),http://www.gpo.gov/fdsys/pkg/CFR-2014-title30-vol1/pdf/CFR-2014-title30-vol1-sec56-14132.pdf,100.00,Closed,100.00 ,100.00 
Dirt Works, ,8771782  ,000345454,1/22/2014,4/20/2014 ,104(a),1/22/2014,C,Y,56.9300(a),http://www.gpo.gov/fdsys/pkg/CFR-2014-title30-vol1/pdf/CFR-2014-title30-vol1-sec56-14132.pdf,243.00,Closed,243.00 ,243.00 
Dirt Works, ,8771783  ,000345454,1/22/2014,4/20/2014 ,104(a),1/22/2014,C,Y,56.9300(a),http://www.gpo.gov/fdsys/pkg/CFR-2014-title30-vol1/pdf/CFR-2014-title30-vol1-sec56-14132.pdf,243.00,Closed,243.00 ,243.00 
Dirt Works, ,8688404  ,000316329,1/29/2013,4/19/2013 ,104(a),1/29/2013,C,N,50.30(a),http://www.gpo.gov/fdsys/pkg/CFR-2014-title30-vol1/pdf/CFR-2014-title30-vol1-sec56-14132.pdf,100.00,Closed,100.00 ,100.00 
Dirt Works, ,8681995  ,000316329,1/28/2013,4/19/2013 ,104(a),2/1/2013,C,N,56.14132(a),http://www.gpo.gov/fdsys/pkg/CFR-2014-title30-vol1/pdf/CFR-2014-title30-vol1-sec56-14132.pdf,162.00,Closed,162.00 ,162.00 
Dirt Works, ,8681997  ,000316329,1/28/2013,4/19/2013 ,104(a),2/1/2013,C,N,47.31(a),http://www.gpo.gov/fdsys/pkg/CFR-2014-title30-vol1/pdf/CFR-2014-title30-vol1-sec56-14132.pdf,100.00,Closed,100.00 ,100.00 
Dirt Works, ,8681998  ,000316329,1/28/2013,4/19/2013 ,104(a),2/1/2013,C,Y,56.9300(a),http://www.gpo.gov/fdsys/pkg/CFR-2014-title30-vol1/pdf/CFR-2014-title30-vol1-sec56-14132.pdf,100.00,Closed,100.00 ,100.00 
Dirt Works, ,8681996  ,000316329,1/28/2013,4/19/2013 ,104(a),2/1/2013,C,N,56.12028,http://www.gpo.gov/fdsys/pkg/CFR-2014-title30-vol1/pdf/CFR-2014-title30-vol1-sec56-14132.pdf,100.00,Closed,100.00 ,100.00 
Dirt Works, ,6315027  ,000303884,8/23/2012,11/22/2012 ,104(g)(1),9/10/2012,O,N,46.8(a)(2),http://www.gpo.gov/fdsys/pkg/CFR-2014-title30-vol1/pdf/CFR-2014-title30-vol1-sec56-14132.pdf,112.00,Closed,112.00 ,112.00 
Dirt Works, ,6576573  ,000246930,12/13/2010,3/23/2011 ,104(a),1/3/2011,C,N,56.20002(b),http://www.gpo.gov/fdsys/pkg/CFR-2014-title30-vol1/pdf/CFR-2014-title30-vol1-sec56-14132.pdf,100.00,Closed,100.00 ,100.00 
Dirt Works, ,6576574  ,000246930,12/13/2010,3/23/2011 ,104(a),1/3/2011,C,Y,56.15001,http://www.gpo.gov/fdsys/pkg/CFR-2014-title30-vol1/pdf/CFR-2014-title30-vol1-sec56-14132.pdf,243.00,Closed,243.00 ,243.00 
Dirt Works, ,6576571  ,000246930,12/13/2010,3/23/2011 ,104(a),12/13/2010,C,N,56.9300(b),http://www.gpo.gov/fdsys/pkg/CFR-2014-title30-vol1/pdf/CFR-2014-title30-vol1-sec56-14132.pdf,100.00,Closed,100.00 ,100.00 
Dirt Works, ,6576572  ,000246930,12/13/2010,3/23/2011 ,104(a),1/3/2011,C,N,56.18013,http://www.gpo.gov/fdsys/pkg/CFR-2014-title30-vol1/pdf/CFR-2014-title30-vol1-sec56-14132.pdf,100.00,Closed,100.00 ,100.00 
Dirt Works, ,6466145  ,000206354,11/3/2009,1/20/2010 ,104(a),11/3/2009,C,N,41.12,http://www.gpo.gov/fdsys/pkg/CFR-2014-title30-vol1/pdf/CFR-2014-title30-vol1-sec56-14132.pdf,100.00,Closed,100.00 ,100.00 
Dirt Works, ,6466144  ,000206354,11/3/2009,1/20/2010 ,104(a),11/3/2009,C,Y,56.9300(a),http://www.gpo.gov/fdsys/pkg/CFR-2014-title30-vol1/pdf/CFR-2014-title30-vol1-sec56-14132.pdf,100.00,Closed,100.00 ,100.00 
